name	uci
Nimzo-Larsen Attack: Polish Variation	b2b3 b7b5
Nimzo-Larsen Attack: Ringelbach Gambit	b2b3 f7f5 c1b2 e7e6 e2e4
Nimzo-Larsen Attack: Spike Variation	b2b3 g8f6 c1b2 g7g6 g2g4
Nimzo-Larsen Attack: Symmetrical Variation	b2b3 b7b6
Bird Opening	f2f4
Bird Opening	f2f4 g8f6
Bird Opening: Batavo-Polish Attack	f2f4 g8f6 g1f3 g7g6 b2b4
Bird Opening: Double Duck Formation	f2f4 f7f5 d2d4 d7d5
Bird Opening: From's Gambit	f2f4 e7e5
Bird Opening: From's Gambit, Bahr Gambit	f2f4 e7e5 b1c3
Bird Opening: From's Gambit, Langheld Gambit	f2f4 e7e5 f4e5 d7d6 e5d6 g8f6
Bird Opening: From's Gambit, Lasker Variation	f2f4 e7e5 f4e5 d7d6 e5d6 f8d6 g1f3 g7g5
Bird Opening: From's Gambit, Lipke Variation	f2f4 e7e5 f4e5 d7d6 e5d6 f8d6 g1f3 g8h6 d2d4
Bird Opening: Hobbs Gambit	f2f4 g7g5
Bird Opening: Hobbs-Zilbermints Gambit	f2f4 h7h6 g1f3 g7g5
Bird Opening: Horsefly Defense	f2f4 g8h6
Bird Opening: Lasker Gambit	f2f4 e7e5 f4e5 f7f6
Bird Opening: Mujannah	f2f4 g8f6 c2c4
Bird Opening: Myers Defense	f2f4 b7b5
Bird Opening: Platz Gambit	f2f4 e7e5 f4e5 g8e7
Bird Opening: Schlechter Gambit	f2f4 e7e5 f4e5 b8c6
Bird Opening: Siegener Gambit	f2f4 e7e5 d2d4 e5d4 g1f3 c7c5 c2c3
Bird Opening: Swiss Gambit	f2f4 f7f5 e2e4 f5e4 b1c3 g8f6 g2g4
Bird Opening: Wagner-Zwitersch Gambit	f2f4 f7f5 e2e4
Bird Opening: Dutch Variation	f2f4 d7d5
Bird Opening: Dutch Variation, Dudweiler Gambit	f2f4 d7d5 g2g4
Bird Opening: Lasker Variation	f2f4 d7d5 g1f3 g8f6 e2e3 c7c5
Bird Opening: Sturm Gambit	f2f4 d7d5 c2c4
Bird Opening: Thomas Gambit	f2f4 d7d5 b2b3 g8f6 c1b2 d5d4 g1f3 c7c5 e2e3
Bird Opening: Williams Gambit	f2f4 d7d5 e2e4
Bird Opening: Williams Gambit	f2f4 d7d5 e2e4 d5e4 b1c3 g8f6 d1e2
Bird Opening: Williams-Zilbermints Gambit	f2f4 d7d5 e2e4 d5e4 b1c3 g8f6 g1e2
Colle System: Rhamphorhynchus Variation	g1f3 c7c5 e2e3 g7g6 d2d4 f8g7 d4c5 d8a5
Modern Defense: Semi-Averbakh Variation, Polish Variation	g1f3 c7c5 c2c4 g7g6 d2d4 f8g7 e2e4 d8b6
Modern Defense: Semi-Averbakh Variation, Pterodactyl Variation	g1f3 c7c5 c2c4 g7g6 d2d4 f8g7 e2e4 d8a5
Modern Defense: Semi-Averbakh Variation, Pterodactyl Variation Accepted	g1f3 g7g6 d2d4 f8g7 e2e4 d7d6 c2c4 c7c5 d4c5 d8a5
Zukertort Defense: Kingside Variation	g1f3 g8h6 d2d4 g7g6
Zukertort Defense: Sicilian Knight Variation	g1f3 b8a6 e2e4 c7c5
Zukertort Opening	g1f3
Zukertort Opening: Arctic Defense	g1f3 f7f6
Zukertort Opening: Arctic Defense, Drunken Knight Variation	g1f3 f7f6 e2e4 g8h6 d2d4 h6f7
Zukertort Opening: Basman Defense	g1f3 h7h6
Zukertort Opening: Black Mustang Defense	g1f3 b8c6
Zukertort Opening: Drunken Cavalry Variation	g1f3 b8a6 e2e4 g8h6
Zukertort Opening: Dutch Variation	g1f3 f7f5
Zukertort Opening: Herrstrom Gambit	g1f3 g7g5
Zukertort Opening: Kingside Fianchetto	g1f3 g7g6
Zukertort Opening: Lisitsyn Gambit	g1f3 f7f5 e2e4
Zukertort Opening: Lisitsyn Gambit Deferred	g1f3 f7f5 d2d3 g8f6 e2e4
Zukertort Opening: Pirc Invitation	g1f3 d7d6
Zukertort Opening: Polish Defense	g1f3 b7b5
Zukertort Opening: Queen's Gambit Invitation	g1f3 e7e6
Zukertort Opening: Queenside Fianchetto Variation	g1f3 b7b6
Zukertort Opening: Ross Gambit	g1f3 e7e5
Zukertort Opening: Shabalov Gambit	g1f3 e7e6 c2c4 a7a6 b1c3 c7c5 g2g3 b7b5
Zukertort Opening: Sicilian Invitation	g1f3 c7c5
Zukertort Opening: Slav Invitation	g1f3 c7c6
Zukertort Opening: Speelsmet Gambit	g1f3 c7c5 d2d4 c5d4 e2e3
Zukertort Opening: St. George Defense	g1f3 a7a6
Zukertort Opening: The Walrus	g1f3 e7e5 f3e5 b8c6 e5c6 d7c6
Zukertort Opening: Vos Gambit	g1f3 d7d6 d2d4 e7e5
Zukertort Opening: Wade Defense	g1f3 d7d6 e2e4 c8g4
Zukertort Opening: Ware Defense	g1f3 a7a5
King's Indian Attack	g1f3 g8f6 g2g3 d7d5
King's Indian Attack: Smyslov Variation	g1f3 g8f6 g2g3 g7g6 b2b4
King's Indian Attack: Spassky Variation	g1f3 g8f6 g2g3 b7b5
King's Indian Attack: Symmetrical Defense	g1f3 g8f6 g2g3 g7g6
King's Indian Attack: Wahls Defense	g1f3 g8f6 g2g3 g7g6 f1g2 f8g7 e1g1 e8g8 d2d3 d7d5
Polish Opening: Zukertort System	g1f3 g8f6 b2b4
Zukertort Opening	g1f3 g8f6
Zukertort Opening	g1f3 g8f6 b1c3 b8c6
Zukertort Opening: Double Fianchetto Attack	g1f3 g8f6 g2g3 g7g6 b2b3 f8g7 c1b2 e8g8 f1g2 d7d6 e1g1
Zukertort Opening: Lemberger Gambit	g1f3 g8f6 e2e4
Zukertort Opening: Myers Polish Attack	g1f3 g8f6 a2a4 g7g6 b2b4
Zukertort Opening: Nimzo-Larsen Variation	g1f3 g8f6 b2b3
Zukertort Opening: Quiet System	g1f3 g8f6 e2e3
Nimzo-Larsen Attack: Classical Variation	g1f3 d7d5 b2b3
Nimzo-Larsen Attack: Norfolk Gambit	g1f3 d7d5 b2b3 c7c5 e2e4
Nimzo-Larsen Attack: Norfolk Gambit	g1f3 d7d5 b2b3 g8f6 c1b2 c7c5 e2e4
Zukertort Opening	g1f3 d7d5
Zukertort Opening: Ampel Variation	g1f3 d7d5 h1g1
Zukertort Opening: Old Indian Attack	g1f3 d7d5 d2d3
Zukertort Opening: Pachman Gambit	g1f3 d7d5 e2e3 c7c5 c2c4 d5c4 b2b3
Zukertort Opening: Regina-Nu Gambit	g1f3 d7d5 b2b3 c7c5 c2c4 d5c4 b1c3
Zukertort Opening: Reversed Mexican Defense	g1f3 d7d5 b1c3
Zukertort Opening: Santasiere's Folly	b2b4 d7d5 g1f3
Zukertort Opening: Tennison Gambit	e2e4 d7d5 g1f3
Zukertort Opening: The Potato	g1f3 d7d5 a2a4
Hungarian Opening: Wiedenhagen-Beta Gambit	g2g3 d7d5 g1f3 g7g5
King's Indian Attack	g1f3 d7d5 g2g3
King's Indian Attack: Double Fianchetto	g1f3 d7d5 g2g3 g7g6
King's Indian Attack: Keres Variation	g1f3 d7d5 g2g3 c8g4
King's Indian Attack: Keres Variation	g1f3 d7d5 g2g3 c8g4 f1g2 b8d7
King's Indian Attack: Omega-Delta Gambit	g1f3 d7d5 g2g3 e7e5
King's Indian Attack: Pachman System	g1f3 d7d5 g2g3 g7g6 f1g2 f8g7 e1g1 e7e5 d2d3 g8e7
King's Indian Attack: Sicilian Variation	g1f3 d7d5 g2g3 c7c5
King's Indian Attack: Yugoslav Variation	g1f3 g8f6 g2g3 d7d5 f1g2 c7c6 e1g1 c8g4
King's Indian Attack: French Variation	g1f3 d7d5 g2g3 c7c5 f1g2 b8c6
King's Indian Attack: Sicilian Variation	e2e4 e7e6 d2d3 d7d5 b1d2 g8f6 g1f3 c7c5 g2g3 b8c6 f1g2 f8e7 e1g1 e8g8 f1e1
King's Indian Attack: Sicilian Variation	g1f3 d7d5 g2g3 c7c5 f1g2
Zukertort Opening: Grünfeld Reversed	g1f3 d7d5 g2g3 c7c5 f1g2 b8c6 d2d4 e7e6 e1g1
Réti Opening	g1f3 d7d5 c2c4
Réti Opening: Advance Variation	g1f3 d7d5 c2c4 d5d4
Réti Opening: Advance Variation, Michel Gambit	g1f3 d7d5 c2c4 d5d4 b2b4 c7c5
Réti Opening: Penguin Variation	g1f3 d7d5 c2c4 d5d4 h1g1
Réti Opening: Reversed Blumenfeld Gambit	g1f3 d7d5 c2c4 d5d4 e2e3 c7c5 b2b4
Réti Opening: Réti Accepted	g1f3 d7d5 c2c4 d5c4
Réti Opening: Réti Gambit, Keres Variation	g1f3 d7d5 c2c4 d5c4 e2e3 c8e6
Réti Opening: Zilbermints Gambit	g1f3 d7d5 c2c4 b7b5
English Opening	c2c4
English Opening: Achilles-Omega Gambit	c2c4 g8f6 e2e4
English Opening: Adorjan Defense	c2c4 g7g6 e2e4 e7e5
English Opening: Anglo-Dutch Defense	c2c4 f7f5
English Opening: Anglo-Dutch Defense, Hickmann Gambit	c2c4 f7f5 e2e4
English Opening: Anglo-Dutch Variation, Chabanon Gambit	c2c4 f7f5 g1f3 d7d6 e2e4
English Opening: Anglo-Dutch Variation, Ferenc Gambit	c2c4 f7f5 b1c3 g8f6 e2e4
English Opening: Anglo-Lithuanian Variation	c2c4 b8c6
English Opening: Anglo-Scandinavian Defense	c2c4 d7d5
English Opening: Anglo-Scandinavian Defense, Löhn Gambit	c2c4 d7d5 c4d5 e7e6
English Opening: Anglo-Scandinavian Defense, Malvinas Variation	c2c4 d7d5 c4d5 d8d5 b1c3 d5a5
English Opening: Anglo-Scandinavian Defense, Schulz Gambit	c2c4 d7d5 c4d5 g8f6
English Opening: Great Snake Variation	c2c4 g7g6
English Opening: Jaenisch Gambit	c2c4 b7b5
English Opening: King's English Variation, Botvinnik System, Prickly Pawn Pass System	c2c4 g7g6 b1c3 f8g7 g2g3 g8f6 f1g2 e8g8 e2e4 d7d6 g1e2 e7e5 e1g1 c7c6 d2d3 a7a6
English Opening: Myers Defense	c2c4 g7g5
English Opening: Myers Gambit	c2c4 g7g5 d2d4 f8g7
English Opening: Porcupine Variation	c2c4 f7f5 b1c3 g8f6 e2e4 f5e4 g2g4
English Opening: Wade Gambit	c2c4 f7f5 g2g4
English Opening: Zilbermints Gambit	c2c4 g7g5 d2d4 e7e5
English Opening: Caro-Kann Defensive System	c2c4 c7c6
Réti Opening: Anglo-Slav Variation, Bled Variation	g1f3 d7d5 b2b3 g8f6 c1b2 g7g6 c2c4 c7c6
Réti Opening: Anglo-Slav Variation, Bogoljubov Variation	g1f3 d7d5 c2c4 c7c6 b2b3
Réti Opening: Anglo-Slav Variation, Bogoljubov Variation	g1f3 d7d5 c2c4 c7c6 b2b3 c8g4
Réti Opening: Anglo-Slav Variation, Bogoljubov Variation	g1f3 g8f6 c2c4 c7c6 b2b3 d7d5 c1b2
Réti Opening: Anglo-Slav Variation, Capablanca Variation	c2c4 g8f6 g1f3 c7c6 b2b3 d7d5 c1b2 c8g4
