name	uci
French Defense: Classical Variation, Richter Attack	e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8e7 g5f6 e7f6 e4e5 f6e7 d1g4
French Defense: Classical Variation, Tartakower Variation	e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8e7 e4e5 f6e4
French Defense: Classical Variation, Vistaneckis Variation	e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8e7 e4e5 f6g8
French Defense: Classical Variation	e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8e7 e4e5 f6d7 g5e7 d8e7
French Defense: Classical Variation, Alapin Variation	e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8e7 e4e5 f6d7 g5e7 d8e7 c3b5
French Defense: Classical Variation, Pollock Variation	e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8e7 e4e5 f6d7 g5e7 d8e7 d1g4
French Defense: Classical Variation, Rubinstein Variation	e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8e7 e4e5 f6d7 g5e7 d8e7 d1d2
French Defense: Classical Variation, Stahlberg Variation	e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8e7 e4e5 f6d7 g5e7 d8e7 f2f4 e8g8 g1f3 c7c5 d1d2 b8c6 e1c1 c5c4
French Defense: Classical Variation, Steinitz Variation	e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8e7 e4e5 f6d7 g5e7 d8e7 f2f4
French Defense: Classical Variation, Tarrasch Variation	e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8e7 e4e5 f6d7 g5e7 d8e7 f1d3
French Defense: MacCutcheon Variation, Wolf Gambit	e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 g1e2 g8f6 c1g5
French Defense: Winawer Variation	e2e4 e7e6 d2d4 d7d5 b1c3 f8b4
French Defense: Winawer Variation, Alekhine Gambit Accepted	e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 g1e2 d5e4 a2a3 b4c3
French Defense: Winawer Variation, Alekhine Gambit, Alatortsev Variation	e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 g1e2 d5e4 a2a3 b4e7 c3e4 g8f6 e2g3 e8g8 f1e2 b8c6
French Defense: Winawer Variation, Alekhine Gambit, Kan Variation	e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 g1e2 d5e4 a2a3 b4c3 e2c3 b8c6
French Defense: Winawer Variation, Alekhine-Maróczy Gambit	e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 g1e2
French Defense: Winawer Variation, Delayed Exchange Variation	e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4d5
French Defense: Winawer Variation, Exchange Variation, Canal Attack	e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4d5 e6d5 f1d3 g8e7 d1h5
French Defense: Winawer Variation, Fingerslip Variation	e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 c1d2
French Defense: Winawer Variation, Fingerslip Variation, Kunin Double Gambit	e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 c1d2 d5e4 d1g4 d8d4
French Defense: Winawer Variation, Fingerslip Variation, Main Line	e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 c1d2 d5e4 d1g4 g8f6 g4g7 h8g8 g7h6
French Defense: Winawer Variation, Fingerslip Variation, Schwarz's Line	e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 c1d2 g8e7 c3b1
French Defense: Winawer Variation, Kondratiyev Variation	e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 f1d3 c7c5 e4d5 d8d5 c1d2
