name	uci
Queen's Pawn Game: Hübsch Gambit	d2d4 g8f6 b1c3 d7d5 e2e4
Queen's Pawn Game: Levitsky Attack	d2d4 d7d5 c1g5
Queen's Pawn Game: Levitsky Attack, Welling Variation	d2d4 d7d5 c1g5 c8g4
Queen's Pawn Game: Mason Attack	d2d4 d7d5 f2f4
Queen's Pawn Game: Stonewall Attack	d2d4 d7d5 e2e3 g8f6 f1d3
Queen's Pawn Game: Zurich Gambit	d2d4 d7d5 g2g4
Rapport-Jobava System	d2d4 d7d5 b1c3 g8f6 c1f4
Richter-Veresov Attack	d2d4 g8f6 b1c3 d7d5 c1g5
Richter-Veresov Attack	d2d4 g8f6 b1c3 d7d5 c1g5 c8f5
Richter-Veresov Attack: Boyce Defense	d2d4 g8f6 b1c3 d7d5 c1g5 f6e4
Richter-Veresov Attack: Malich Gambit	d2d4 g8f6 b1c3 d7d5 c1g5 c7c5 g5f6 g7f6 e2e4 d5e4 d4d5
Richter-Veresov Attack: Richter Variation	d2d4 g8f6 b1c3 d7d5 c1g5 c8f5 f2f3
Richter-Veresov Attack: Two Knights System	d2d4 g8f6 b1c3 d7d5 c1g5 b8d7 g1f3
Richter-Veresov Attack: Two Knights System, Grünfeld Defense	d2d4 g8f6 b1c3 d7d5 c1g5 b8d7 g1f3 g7g6
Richter-Veresov Attack: Veresov Variation	d2d4 g8f6 b1c3 d7d5 c1g5 c8f5 g5f6
London System: Poisoned Pawn Variation	d2d4 g8f6 g1f3 d7d5 c1f4 c7c5 e2e3 d8b6 b1c3
Queen's Gambit Declined: Baltic Defense, Pseudo-Slav	d2d4 d7d5 g1f3 c8f5 c2c4 e7e6 b1c3 c7c6
Queen's Pawn Game: Anti-Torre	g1f3 d7d5 d2d4 c8g4
Queen's Pawn Game: Chandler Gambit	d2d4 d7d5 g1f3 c7c5 g2g3 c5d4 f1g2
Queen's Pawn Game: Chigorin Variation	d2d4 d7d5 g1f3 b8c6
Queen's Pawn Game: Krause Variation	d2d4 d7d5 g1f3 c7c5
