name	uci
Alekhine Defense: Spielmann Gambit	e2e4 g8f6 b1c3 d7d5 e4e5 f6d7 e5e6
Alekhine Defense: Steiner Variation	e2e4 g8f6 e4e5 f6d5 c2c4 d5b6 b2b3
Alekhine Defense: Sämisch Attack	e2e4 g8f6 e4e5 f6d5 b1c3
Alekhine Defense: The Squirrel	e2e4 g8f6 e4e5 f6d5 c2c4 d5f4
Alekhine Defense: Two Pawns Attack	e2e4 g8f6 e4e5 f6d5 c2c4
Alekhine Defense: Two Pawns Attack, Lasker Variation	e2e4 g8f6 e4e5 f6d5 c2c4 d5b6 c4c5
Alekhine Defense: Two Pawns Attack, Mikenas Variation	e2e4 g8f6 e4e5 f6d5 c2c4 d5b6 c4c5 b6d5 f1c4 e7e6 b1c3 d7d6
Alekhine Defense: Welling Variation	e2e4 g8f6 e4e5 f6d5 b2b3
Alekhine Defense	e2e4 g8f6 e4e5 f6d5 d2d4
Alekhine Defense	e2e4 g8f6 e4e5 f6d5 d2d4 d7d6
Alekhine Defense	e2e4 g8f6 e4e5 f6d5 d2d4 d7d6 c2c4
Alekhine Defense: Balogh Variation	e2e4 g8f6 e4e5 f6d5 d2d4 d7d6 f1c4
Alekhine Defense: Exchange Variation	e2e4 g8f6 e4e5 f6d5 d2d4 d7d6 c2c4 d5b6 e5d6
Alekhine Defense: Exchange Variation, Karpov Variation	e2e4 g8f6 e4e5 f6d5 d2d4 d7d6 c2c4 d5b6 e5d6 c7d6 b1c3 g7g6 h2h3 f8g7 g1f3 e8g8 f1e2 b8c6 e1g1 c8f5 c1f4
Alekhine Defense: Exchange Variation, Voronezh Variation	e2e4 g8f6 e4e5 f6d5 d2d4 d7d6 c2c4 d5b6 e5d6 c7d6 b1c3 g7g6 c1e3 f8g7 a1c1 e8g8 b2b3
Alekhine Defense: Four Pawns Attack	e2e4 g8f6 e4e5 f6d5 d2d4 d7d6 c2c4 d5b6 f2f4
Alekhine Defense: Four Pawns Attack, Cambridge Gambit	e2e4 g8f6 e4e5 f6d5 d2d4 d7d6 c2c4 d5b6 f2f4 g7g5
